Feature_ID,b_numbers,background_2,background_3,background_4,pex_1,TPII_1,LL37_2,PLEU_1,NT_6,pex_2,LL37_3,Ind_3,PXB_1,CAP18_1,HBD3_1,PR39_1,Ind_1,PGLA_1,NT_4,PGLA_2,NT_2,NT_3,PROA_3,Bac5_2,background_1,R8_1,R8_2,PROA_2,PROA_1,NT_1,AP_2,TPII_2,CAP18_2,background_5,Bac5_3,PR39_2,CP1_1,CP1_2,PXB_3
ytfH,b4212,7.313045337,8.76344042,9.979711937,66.59447543,69.20496889,45.76075432,68.06216656,48.0430852,54.9840591,89.76413124,13.66806893,30.86719029,91.12190007,16.01445902,44.0681156,11.178579,17.71111846,23.94205145,34.48107189,47.4218278,40.37437154,41.69308333,13.09482105,44.08332424,152.930029,38.50141223,28.53780553,83.51769852,43.82097519,45.14752202,61.23273546,58.90266696,12.29381964,9.892247661,21.91560838,6.734268263,18.03564081,82.99130584
rpsJ,b3321,7.306652815,6.810051165,4.687216775,138.0011391,164.9679827,89.66938508,151.1974295,170.0377577,146.0115452,168.5758353,168.1920582,203.3883194,230.5916109,194.4436898,109.8937482,178.080431,178.2848684,152.6025033,104.3240467,149.6618199,161.137677,169.7122302,65.29573031,7.511514551,81.70360323,139.1294165,156.0287056,64.48270941,137.8343319,155.4543618,202.6784951,222.9805768,9.714064498,51.77124119,125.1532466,185.0304958,129.2730191,257.0196647
hybB,b2995,7.304587038,7.980954183,9.178834682,4.727956146,10.41608476,9.457330875,4.679711522,11.05196086,7.615022362,13.40509532,5.775956314,3.324964518,2.306052562,4.140124774,5.096722196,4.761821242,4.950002437,7.548291526,7.483928671,5.97062767,7.000930558,2.726746847,2.644787331,7.951119728,47.99455573,6.094007607,4.401476252,4.527217278,10.29889216,34.44115808,29.68151681,32.83486454,7.244539427,4.11008327,6.040651524,4.507871685,5.068096875,5.253220561
cynT,b0339,7.2918919,10.1177903,9.306255851,24.75507446,58.55705618,39.01031746,58.51766544,72.86041079,58.94719583,108.347532,102.5726445,172.2482755,42.14512634,27.99826588,23.02928032,90.92988745,50.84440003,53.93597399,46.34592919,77.504175,87.82768638,63.89555265,47.56048927,7.693611873,73.00270003,101.6037268,72.26137928,45.41305472,71.6738526,82.45982952,86.04444496,55.67975399,8.766742506,48.94735531,37.95384906,95.79933894,103.6621624,99.27455784
ruvC,b1863,7.278657976,6.396304214,13.4474633,47.50162361,93.06602708,5.825597231,60.24725161,123.0279239,76.44198693,87.8530088,91.31986104,55.38502319,62.50197632,35.73406956,36.22756339,95.68373029,56.94903127,86.9485098,46.20250677,80.46278635,84.09346603,117.3773257,25.08899982,10.47582872,38.10151612,49.32118513,112.1942801,95.17363538,91.10672271,85.89258641,92.32603693,42.45477426,6.861763428,23.72352661,69.15863638,66.0046753,77.26663211,56.20278622
yciY,b4595,7.278657976,6.977786416,3.361865825,41.978179,63.31257605,146.8050502,172.8144849,80.23560254,82.17513595,113.1665876,64.46107838,66.18040907,150.2451354,77.14551465,31.48750837,58.9678803,142.5472685,90.78447347,135.2268491,70.12399257,72.23413108,80.42520467,63.31985669,24.69302485,56.34731257,137.6405166,83.79066491,107.3652994,103.2219784,272.2632928,220.5239736,203.1380338,3.166967736,43.32122251,38.10782005,60.03616743,87.56884972,108.65872
yciZ,b4596,7.278657976,12.21112623,8.404664562,241.9268737,330.0557243,192.2447086,210.8653806,310.2443298,273.2801033,245.6906178,223.311593,629.4179331,399.0510796,363.6859976,283.3875753,341.5686651,305.0092288,304.3197843,215.2360681,264.3135105,349.3113204,405.3865046,154.1181418,4.489640881,156.162552,325.1757206,339.4232019,193.4935066,332.9272261,209.0593141,218.7597818,733.5540109,19.00180642,120.6805484,238.5267255,340.2049488,315.9346735,408.4069132
glpX,b3925,7.265698941,6.304854491,6.943200635,56.27685281,57.87663224,46.72232699,60.5765744,77.63779965,84.85741041,84.31379138,41.20699712,116.3244263,121.4301693,82.07766651,38.98338597,60.50967527,95.42754605,58.09720641,53.91685744,65.91431212,62.53103884,92.02877698,43.38549948,11.59046756,34.91192542,60.99884617,95.56931544,54.41961112,80.31875261,67.21944868,69.83477288,67.14816641,9.265964949,28.7583868,30.60687426,65.8025649,86.8810162,70.61204654
sfsB,b3188,7.263004948,13.05521329,14.67653253,6.8894577870000004,9.709490774,7.266336332,19.77555514,8.895894762,19.06939889,9.286448898,5.743076108,4.39083016,7.496101379,6.248344993,6.96809932,9.714327206,16.34199393,8.771845233,11.94746176,10.93331067,14.79228876,12.8783167,8.941087494,9.799968805,4.01615254,4.29201611,5.314224784,11.77301168,9.066901025,30.32118084,31.90721063,34.18571451,14.81323618,9.649120222,17.6045684,8.539383181,8.56671859,10.51536
ynbD,b1411,7.248259869,6.338290909,5.202701868,4.608423852,8.101004367,4.076566415,2.986980603,10.31748351,11.5727138,13.82625118,6.196126195,2.65283567,3.234976465,3.100976784,4.647359218,2.096130929,2.397836882,6.194502814,6.975739238,10.34400854,12.62227466,1.023786076,10.93260582,17.52105792,13.43221319,10.88190396,4.013411061,4.763152928,9.195226074,38.3833788,36.08611324,37.09945529,7.671262915,8.328242976,4.748331964,5.81129182,9.473578301,9.328010767
